question,answer,source,security classification
,"Chinese Aerospace Studies Institute
 
 
 
i
 
Printed in the United States of America by the China Aerospace Studies Institute 
 
To request additional copies, please direct inquiries to Director, China Aerospace Studies Institute, 
Air University, 55 Lemay Plaza, Montgomery, AL 36112 
 
All photos licensed under the Creative Commons Attribution
-
Share Alike 4",2022-10-24 PLARF Organization.pdf,
,"0 Interna
tional license, 
o
r under the Fair Use Doctrine under Section 107 of the Copyright Act for nonprofit educational and 
noncommercial use",2022-10-24 PLARF Organization.pdf,
,"All other graphics created by or for China Aerospace Studies Institute 
 
E
-
mail: Director@CASI
-
Research",2022-10-24 PLARF Organization.pdf,
,ORG Web: http://www,2022-10-24 PLARF Organization.pdf,
,airuniversity,2022-10-24 PLARF Organization.pdf,
,"a
f",2022-10-24 PLARF Organization.pdf,
,"mil/CASI 
https://twitter",2022-10-24 PLARF Organization.pdf,
,"com/CASI_Research @CASI_Research 
https://www",2022-10-24 PLARF Organization.pdf,
,facebook,2022-10-24 PLARF Organization.pdf,
,com/CASI,2022-10-24 PLARF Organization.pdf,
,Research,2022-10-24 PLARF Organization.pdf,
,Org https://www,2022-10-24 PLARF Organization.pdf,
,linkedin,2022-10-24 PLARF Organization.pdf,
,"com/company/11049011 
 
Disclaimer The views expressed in this academic research paper are those of the authors and do not 
necessarily reflect the official policy or position of the U",2022-10-24 PLARF Organization.pdf,
,S,2022-10-24 PLARF Organization.pdf,
,"Government or the Depart
ment of 
Defense",2022-10-24 PLARF Organization.pdf,
,"In accordance with Air Force Instruction 51
-
303, Intellectual Property, Patents, Patent 
Related Matters, Trademarks and Copyrights; this work is the p
roperty of the U",2022-10-24 PLARF Organization.pdf,
,S,2022-10-24 PLARF Organization.pdf,
,Government,2022-10-24 PLARF Organization.pdf,
,"Limited Print and Electronic Distribution Rights Reproduction and printing is subject to the 
Copyright Act of 1976 and applicable treaties of the United States",2022-10-24 PLARF Organization.pdf,
,"This document and trademark(s) 
contained herein are 
protected by law",2022-10-24 PLARF Organization.pdf,
,This publication is provided for noncommercial use only,2022-10-24 PLARF Organization.pdf,
,Unauthorized posting of this publication online is prohibited,2022-10-24 PLARF Organization.pdf,
,"Permission is given to duplicate this 
document for personal, academic, or governmental use only, as long as it is unal
tered and complete 
however, it is requested that reproductions credit the author and China Aerospace Stud
ies Institute 
(CASI)",2022-10-24 PLARF Organization.pdf,
,"Permission is required from the China Aerospace Studies Institute to reproduce, or reuse in 
another form, any of its research do
cuments for commercial use",2022-10-24 PLARF Organization.pdf,
,"For information on reprint and 
linking permissions, please contact the China Aero
space Studies Institute",2022-10-24 PLARF Organization.pdf,
,"Cleared for Public Release, Distribution unlimited",2022-10-24 PLARF Organization.pdf,
,"Chinese Aerospace Studies Institute
 
 
 
ii
 
China Aerospace Studies Institute 
 
CASI's mission is to advance th
e understanding of the strategy, doctrine, operating concepts, 

commercial infrastructure that supports them",2022-10-24 PLARF Organization.pdf,
,"CASI supports the Secretary, Chief of Staff of th
e Air Force, the Chief of Space Operations, and 
other senior Air and Space leaders",2022-10-24 PLARF Organization.pdf,
,"CASI provides expert research and analysis supporting decision 
and policy makers in the Department of Defense and across the U",2022-10-24 PLARF Organization.pdf,
,S,2022-10-24 PLARF Organization.pdf,
,government,2022-10-24 PLARF Organization.pdf,
,"CASI can support 
the full ra
nge of units and organizations across the USAF, USSF, and the DoD",2022-10-24 PLARF Organization.pdf,
,"CASI accomplishes 
its mission through conducting the following activities:  
 

 
CASI primarily conducts open
-
source native
-
language research supporting its five main topic 
areas",2022-10-24 PLARF Organization.pdf,
,"CASI conduct
s conferences, workshops, roundtables, subject matter expert panels, and senior 
leader discussions to further its mission",2022-10-24 PLARF Organization.pdf,
,"CASI personnel attend such events, government, 
academic, and public, in support of its research and outreach efforts",2022-10-24 PLARF Organization.pdf,
,"CASI publishes
 
research findings and papers, journal articles, monographs, and edited 
volumes for both public and government
-
only distribution as appropriate",2022-10-24 PLARF Organization.pdf,
,"CASI establishes and maintains institutional relationships with organizations and institutions 
in the PLA, the
 
PRC writ large, and with partners and allies involved in the region",2022-10-24 PLARF Organization.pdf,
,"CASI maintains the ability to support senior leaders and policy decision makers across the 
full spectrum of topics and projects at all levels, related to Chinese aerospace",2022-10-24 PLARF Organization.pdf,
,"CASI supports
 
the U",2022-10-24 PLARF Organization.pdf,
,S,2022-10-24 PLARF Organization.pdf,
,"Defense Department and the China research community writ
-
large by 
providing high quality, unclassified research on Chinese aerospace developments in the context of 
U",2022-10-24 PLARF Organization.pdf,
,S,2022-10-24 PLARF Organization.pdf,
,"strategic imperatives in the Asia
-

s Military Air, 
Space, and Missile Forces, CASI capitalizes on publicly available native language resources to gain 
insights as to how the Chinese speak to and among one another on these topics",2022-10-24 PLARF Organization.pdf,
,"Chinese Aerospace Studies Institute
 
 
 
iii
 
Table of Contents
 
Introduction",2022-10-24 PLARF Organization.pdf,
,"1
 
PLARF Force Structure",2022-10-24 PLARF Organization.pdf,
